gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	significant_up	significant_down
SNAPC4	64.64890490624664	-0.2762510867042906	0.053992502976299525	-5.116471203892019	3.1130478611321796e-7	1.9491605977359145e-6	FALSE	FALSE	FALSE
SNAPC5	21.842714500214566	-0.03179902932449904	0.08086384692578136	-0.3932416096118318	0.694141040047745	0.7995431856556918	FALSE	FALSE	FALSE
SNAPIN	26.52248446838691	-0.09890157902918818	0.07249656178468504	-1.3642244072612175	0.1724969487246732	0.2700513559274149	FALSE	FALSE	FALSE
SNCA	42.87601445517639	0.08405792413247337	0.07934340126983638	1.059419218072131	0.28940890116387286	0.4083375753487649	FALSE	FALSE	FALSE
SNCAIP	72.77354632893025	0.4194627135547061	0.08296286057076409	5.056030019564245	4.280739799160969e-7	2.613446839697452e-6	FALSE	FALSE	FALSE
SNCG	8.527695396138725	0.47976579986205115	0.15627875310913816	3.0699361897711324	0.0021410450943091554	0.006117068897611822	FALSE	FALSE	FALSE
SND1	384.33584853375567	-0.47602933345283444	0.04857827779628703	-9.799222101883954	1.1345600471455295e-22	6.432656898881693e-21	FALSE	FALSE	FALSE
SNED1	102.10265242134919	0.08141408480305767	0.055592360702794594	1.4644833170210207	0.14306193808803094	0.23173365734291196	FALSE	FALSE	FALSE
SNF8	54.87110851197692	-0.09263946055407997	0.0516688185778388	-1.792947141117986	0.07298137653044492	0.1324558804943506	FALSE	FALSE	FALSE
SNHG1	18.271894187016343	-0.25068704822074706	0.0930159584087983	-2.695097190946482	0.007036810226696934	0.017528971711664405	FALSE	FALSE	FALSE
SNHG11	0.5736750911181028	-0.6490373543504026	0.7678366840974765	-0.8452804714758947	0.3979542617668943	0.5274962821316438	FALSE	FALSE	FALSE
SNHG12	5.8966551945417045	-0.056663857837112766	0.1571510008388395	-0.3605695002555047	0.7184212928708864	0.8196421752775885	FALSE	FALSE	FALSE
SNHG14	40.35704442225378	-0.5276984085320251	0.07228350083476634	-7.300399156624923	2.869152669792704e-13	4.719246558877554e-12	FALSE	FALSE	FALSE
SNHG15	10.486824509880947	-0.07480234458594644	0.11597495081721697	-0.644987077458124	0.5189355600601517	0.6476924250663868	FALSE	FALSE	FALSE
SNHG16	50.04876672033926	-0.2645137562087697	0.06667400128288188	-3.967269867103085	7.270065606821841e-5	2.9070817278948875e-4	FALSE	FALSE	FALSE
SNHG17	1.1146617471007385	-0.47107905290763785	0.3779770501566313	-1.2463165494106736	0.21264820448733332	0.31953588824658924	FALSE	FALSE	FALSE
SNHG20	3.7284828220652777	-0.24828326392614508	0.19817986527026385	-1.252817805620938	0.21027202012551785	0.3168714187315019	FALSE	FALSE	FALSE
SNHG22	22.88821124104895	0.2975627431875792	0.08506030435020331	3.498256271955932	4.683109051599628e-4	0.0015699017351285824	FALSE	FALSE	FALSE
