gs_name	gene	species
moghal-2023_DTP-up_microarray	SERHL2	human
moghal-2023_DTP-up_microarray	SERPIND1	human
moghal-2023_DTP-up_microarray	SERTAD1	human
moghal-2023_DTP-up_microarray	SEZ6L2	human
moghal-2023_DTP-up_microarray	SGK	human
moghal-2023_DTP-up_microarray	SH3BGRL2	human
moghal-2023_DTP-up_microarray	SHE	human
moghal-2023_DTP-up_microarray	SIDT2	human
moghal-2023_DTP-up_microarray	SIGLEC12	human
moghal-2023_DTP-up_microarray	SIPA1L2	human
moghal-2023_DTP-up_microarray	SLC25A4	human
moghal-2023_DTP-up_microarray	SLC35C1	human
moghal-2023_DTP-up_microarray	SLC38A2	human
moghal-2023_DTP-up_microarray	SLC3A2	human
moghal-2023_DTP-up_microarray	SLC44A4	human
moghal-2023_DTP-up_microarray	SLC9A1	human
moghal-2023_DTP-up_microarray	SLCO2A1	human
moghal-2023_DTP-up_microarray	SLMAP	human
moghal-2023_DTP-up_microarray	SLPI	human
moghal-2023_DTP-up_microarray	SMAD3	human
moghal-2023_DTP-up_microarray	SMARCA2	human
moghal-2023_DTP-up_microarray	SMPD1	human
moghal-2023_DTP-up_microarray	SNCAIP	human
moghal-2023_DTP-up_microarray	SOX4	human
moghal-2023_DTP-up_microarray	SPAG1	human
moghal-2023_DTP-up_microarray	SPANXA1	human
moghal-2023_DTP-up_microarray	SPANXA2	human
moghal-2023_DTP-up_microarray	SPANXB1	human
moghal-2023_DTP-up_microarray	SPANXC	human
moghal-2023_DTP-up_microarray	SPANXD	human
moghal-2023_DTP-up_microarray	SPANXE	human
moghal-2023_DTP-up_microarray	SPHK1	human
moghal-2023_DTP-up_microarray	SPINT2	human
moghal-2023_DTP-up_microarray	SPTAN1	human
moghal-2023_DTP-up_microarray	SREBF1	human
moghal-2023_DTP-up_microarray	SRI	human
moghal-2023_DTP-up_microarray	ST3GAL5	human
moghal-2023_DTP-up_microarray	ST6GALNAC2	human
moghal-2023_DTP-up_microarray	STAT2	human
moghal-2023_DTP-up_microarray	STK38L	human
moghal-2023_DTP-up_microarray	STK40	human
moghal-2023_DTP-up_microarray	SYNGR1	human
moghal-2023_DTP-up_microarray	SYT11	human
moghal-2023_DTP-up_microarray	SYT7	human
moghal-2023_DTP-up_microarray	SYTL2	human
moghal-2023_DTP-up_microarray	TACSTD2	human
moghal-2023_DTP-up_microarray	TAF10	human
moghal-2023_DTP-up_microarray	TAPBP	human
moghal-2023_DTP-up_microarray	TCEA3	human
moghal-2023_DTP-up_microarray	TCF4	human
moghal-2023_DTP-up_microarray	TCN1	human
moghal-2023_DTP-up_microarray	TESC	human
moghal-2023_DTP-up_microarray	TEX264	human
moghal-2023_DTP-up_microarray	TGFA	human
moghal-2023_DTP-up_microarray	TGFB3	human
moghal-2023_DTP-up_microarray	TGM2	human
moghal-2023_DTP-up_microarray	THBS4	human
moghal-2023_DTP-up_microarray	TIMP2	human
moghal-2023_DTP-up_microarray	TLE4	human
moghal-2023_DTP-up_microarray	TM4SF1	human
moghal-2023_DTP-up_microarray	TM6SF1	human
moghal-2023_DTP-up_microarray	TMBIM1	human
moghal-2023_DTP-up_microarray	TMC4	human
moghal-2023_DTP-up_microarray	TMEM158	human
moghal-2023_DTP-up_microarray	TMEM16A	human
moghal-2023_DTP-up_microarray	TMEM59	human
moghal-2023_DTP-up_microarray	TMPRSS2	human
moghal-2023_DTP-up_microarray	TNFRSF12A	human
moghal-2023_DTP-up_microarray	TNFRSF14	human
moghal-2023_DTP-up_microarray	TNFRSF21	human
moghal-2023_DTP-up_microarray	TNFRSF25	human
moghal-2023_DTP-up_microarray	TNFRSF8	human
moghal-2023_DTP-up_microarray	TNNT3	human
moghal-2023_DTP-up_microarray	TOM1	human
moghal-2023_DTP-up_microarray	TOMM34	human
moghal-2023_DTP-up_microarray	TPM2	human
moghal-2023_DTP-up_microarray	TRAM1	human
moghal-2023_DTP-up_microarray	TRIB1	human
moghal-2023_DTP-up_microarray	TSC22D1	human
moghal-2023_DTP-up_microarray	TSPAN31	human
moghal-2023_DTP-up_microarray	TSPAN8	human
moghal-2023_DTP-up_microarray	TSPAN9	human
moghal-2023_DTP-up_microarray	TXNIP	human
moghal-2023_DTP-up_microarray	UBD	human
moghal-2023_DTP-up_microarray	UPLP	human
moghal-2023_DTP-up_microarray	VAMP8	human
moghal-2023_DTP-up_microarray	VASN	human
moghal-2023_DTP-up_microarray	VIL2	human
moghal-2023_DTP-up_microarray	VPS37B	human
moghal-2023_DTP-up_microarray	VSIG2	human
moghal-2023_DTP-up_microarray	WDR72	human
moghal-2023_DTP-up_microarray	WNT10A	human
moghal-2023_DTP-up_microarray	YIPF5	human
moghal-2023_DTP-up_microarray	YPEL5	human
moghal-2023_DTP-up_microarray	ZBTB20	human
moghal-2023_DTP-up_microarray	ZBTB4	human
moghal-2023_DTP-up_microarray	ZEB2	human
moghal-2023_DTP-up_microarray	ZFAND5	human
moghal-2023_DTP-up_microarray	ZNF148	human
moghal-2023_DTP-up_microarray	ZNFX1	human
moghal-2023_DTP-up_microarray	ZSWIM4	human
moghal-2023_DTP-up_microarray	Abca1	mouse
moghal-2023_DTP-up_microarray	Abcg1	mouse
moghal-2023_DTP-up_microarray	Ablim1	mouse
moghal-2023_DTP-up_microarray	Acsl5	mouse
moghal-2023_DTP-up_microarray	Actc1	mouse
moghal-2023_DTP-up_microarray	Actr1a	mouse
moghal-2023_DTP-up_microarray	Acvr1	mouse
moghal-2023_DTP-up_microarray	Adamtsl2	mouse
moghal-2023_DTP-up_microarray	Add3	mouse
moghal-2023_DTP-up_microarray	Afap1l2	mouse
moghal-2023_DTP-up_microarray	Aftph	mouse
moghal-2023_DTP-up_microarray	Aga	mouse
moghal-2023_DTP-up_microarray	Ahnak	mouse
moghal-2023_DTP-up_microarray	Aif1	mouse
moghal-2023_DTP-up_microarray	Akap12	mouse
moghal-2023_DTP-up_microarray	Akr1a1	mouse
moghal-2023_DTP-up_microarray	Aldh1a7	mouse
