gs_name	gene	species
zhao-2020_DTP-up_GSE153183	LEMD1	human
zhao-2020_DTP-up_GSE153183	LGALS9	human
zhao-2020_DTP-up_GSE153183	LHB	human
zhao-2020_DTP-up_GSE153183	LIFR	human
zhao-2020_DTP-up_GSE153183	LIMA1	human
zhao-2020_DTP-up_GSE153183	LIMK2	human
zhao-2020_DTP-up_GSE153183	LIMS2	human
zhao-2020_DTP-up_GSE153183	LINC00294	human
zhao-2020_DTP-up_GSE153183	LINC00482	human
zhao-2020_DTP-up_GSE153183	LINC00659	human
zhao-2020_DTP-up_GSE153183	LINC00842	human
zhao-2020_DTP-up_GSE153183	LINC00883	human
zhao-2020_DTP-up_GSE153183	LINC00885	human
zhao-2020_DTP-up_GSE153183	LINC00893	human
zhao-2020_DTP-up_GSE153183	LINC01000	human
zhao-2020_DTP-up_GSE153183	LINC01003	human
zhao-2020_DTP-up_GSE153183	LINC01126	human
zhao-2020_DTP-up_GSE153183	LINC01133	human
zhao-2020_DTP-up_GSE153183	LINC01504	human
zhao-2020_DTP-up_GSE153183	LINC01508	human
zhao-2020_DTP-up_GSE153183	LINC01552	human
zhao-2020_DTP-up_GSE153183	LMBRD1	human
zhao-2020_DTP-up_GSE153183	LMO7	human
zhao-2020_DTP-up_GSE153183	LMTK3	human
zhao-2020_DTP-up_GSE153183	LOC100128770	human
zhao-2020_DTP-up_GSE153183	LOC100129550	human
zhao-2020_DTP-up_GSE153183	LOC100130093	human
zhao-2020_DTP-up_GSE153183	LOC100130705	human
zhao-2020_DTP-up_GSE153183	LOC100132356	human
