Regulator	BCa_MCF7_first	BCa_MCF7_resistant	BCa_MCF7_second	BCa_MCF7_ERmutant	PCa_LNCaP_first	PCa_LNCaP_resistant	PCa_LNCaP_second	BCa_NEO_new	BCa_NEO_new_LASSO	BCa_NEO_new_RF	Perv_NEO	Perv_DTP	BCa_NEO_new_ML	Selection_1	Selection_2	Selection_3
ESRRA	-2.5973255935357407	-2.180068304332245	-0.4108024451027123	4.578034602216325	-0.1756118140125451	-0.2543048863631593	-0.02949896877540681	-0.7541508244618618	0	0	-6.074624810696271	1.175156938305299	FALSE	FALSE	TRUE	FALSE
ETS1	0.7465670086058916	-0.3093413037972436	0.7529403005983539	-0.2923474430302849	0.8467812208368328	0.7645528749282979	0.07002152967093796	58.03166116733245	0	-7.692307692307687e-4	3.5337955636562817	1.0886628455126621	TRUE	FALSE	TRUE	TRUE
ETS2	0.4157017659076334	-0.08430995686743235	0.7233321277657995	-0.13767823061907253	0.5923779495162143	0.5357705949576654	0.00472920676975452	29.789182383685446	0	0	1.6371522938629497	-0.35898861572134716	FALSE	FALSE	FALSE	FALSE
ETV4	0.7551817656152888	0.34931979754198506	0.3161582309644229	0.08203785490902801	0.22845460743716103	0.00280345563345241	-0.2890196286284119	19.61308724034297	0	0	0	0	FALSE	FALSE	FALSE	FALSE
ETV6	0.7532852996157053	0.5644938589763574	0.4104419822202131	0.06745385160614398	0.25350753597870324	-0.00140951917233606	-0.2274032257361061	0.0014315394150041208	0	0	-0.5943310310652414	2.0398940894549766	FALSE	FALSE	FALSE	FALSE
EWSR1	-0.4766015310872818	-0.32916746585109047	-0.06114960661500867	-0.2608696942928914	-0.2400880984223781	-0.3048527315811615	-0.00553992158599149	0.005664153893094718	0	0	0	0	FALSE	FALSE	FALSE	FALSE
EZH2	-1.4642792816991497	-1.2625078962015288	-0.24445112044476183	-1.3645866341912032	-0.14430432629186318	-0.2885223941149895	0.12265038028891428	0.25329116462188256	0	0	0	0	FALSE	TRUE	FALSE	FALSE
FLI1	-0.3925970580409093	-0.233703770709956	-0.12145566270116404	-0.3773398357948127	-0.04901526938755563	-0.08373833577015544	-0.06239489092190531	6.16055504301344	0	0	-0	1.0755945152731616	FALSE	FALSE	FALSE	FALSE
FOS	0.24816950283012465	-0.58955059764745	0.3624656174363836	0.04583728595092229	0.715268799956728	0.5932962999451974	-0.06180981098530086	27.747568355525743	0	8.333333333333337e-4	0.9737275021708482	7.784518815296603	TRUE	FALSE	FALSE	TRUE
FOSB	0.4634147609631482	-0.5150284715697541	0.2126020762020962	-0.06357981240308602	-0.0605588624547676	0.14889090667685706	-0.14641862274357087	0.08214169090651989	0	0	0	0	FALSE	FALSE	FALSE	FALSE
FOSL1	-0.2596631275187685	-0.13579229525757644	0.2045886542806012	2.263771378898534	-0.01655190061967193	-0.16394904218100848	0.00840390001689483	0.024174885471060847	0	0	0	0	FALSE	FALSE	FALSE	FALSE
FOSL2	0.06049405799613153	0.06656687967777601	0.19295574066405105	-0.20785516955302075	0.4126858781964333	0.3430153457440147	-0.12732586941815685	-0.015013326751404085	0	0	0	0	FALSE	FALSE	FALSE	FALSE
FOXA1	-2.636156694166485	-1.565284712894096	-0.4146385577286586	8.753880675351203	0.1550596382974726	0.0453765168760879	-0.04479300865687252	-7.62296904085077	0	0	-5.822995889332811	7.221215357080018	FALSE	TRUE	TRUE	FALSE
FOXA2	-1.3823910362167935	-1.2795030051322556	-0.05468665792229391	2.7347451333111157	0.4032059634762004	0.06678314143865893	-0.11521270924145777	0.3005875194672727	0	0	0	0	FALSE	FALSE	FALSE	FALSE
FOXC1	-0.07285470534195496	0.10626013251563562	0.08847358822769542	0.15582847767284097	-0.05826640192908106	-0.19740465401024188	0.03711286741955	5.558332627494517	0	0	0	0	FALSE	FALSE	FALSE	FALSE
FOXC2	0.39161318302091275	0.30175101787904995	0.17459939789599574	0.414187109362829	0.33661125826070765	0.3832057846936684	-0.17566242833035245	0.43317626635894013	0	0	0	0	FALSE	FALSE	FALSE	FALSE
FOXL2	0.5625175969909142	0.4332375778539123	0.373929576816104	0.18113483353076215	0.18054139597196955	-0.1592598706575297	0.02046783404912169	-2.4433147916555495	0	0	6.35690226860803	0.2447490428105087	FALSE	FALSE	TRUE	FALSE
FOXM1	-0.2712999768912221	-0.18506524001802235	0.10465935827147492	-0.4089261927960108	0.11566334056100076	0.14040674746495854	-0.01907545394759107	0.094922821180412	0	0	-1.8389877126395398	-2.7416307460997285	FALSE	FALSE	FALSE	FALSE
